# Spanish	English — generated by scripts/build_install_lang_tsv.py
Base de datos restaurada desde backup	Database restored from backup
ERROR: No se pudo restaurar desde backup	ERROR: Could not restore from backup
ERROR: No se pudo restaurar el directorio de datos	ERROR: Could not restore the data directory
Base de datos verificada: $DB_SIZE	Database verified: $DB_SIZE
ERROR CRÍTICO: No se pudo restaurar la base de datos	CRITICAL ERROR: Could not restore the database
El backup está en: $TEMP_BACKUP_DIR	Backup is at: $TEMP_BACKUP_DIR
El directorio temporal está en: $TEMP_DATA_DIR	Temporary directory is at: $TEMP_DATA_DIR
ERROR CRÍTICO: No hay backup disponible	CRITICAL ERROR: No backup available
Restaurando base de datos desde backup...	Restoring database from backup...
No se encontró directorio de datos ni backup para restaurar	No data directory or backup found to restore
Se creará una nueva base de datos al iniciar el servicio	A new database will be created when the service starts
Restaurando configuración...	Restoring configuration...
Archivos actualizados, datos preservados	Files updated, data preserved
Eliminando instalación anterior en $INSTALL_DIR...	Removing previous installation in $INSTALL_DIR...
Deshabilitando servicio ${SERVICE_NAME}...	Disabling service ${SERVICE_NAME}...
Instalación anterior eliminada	Previous installation removed
No hay instalación anterior que eliminar	No previous installation to remove
Usuario $USER_NAME ya existe	User $USER_NAME already exists
Usuario $USER_NAME ya está en el grupo netdev	User $USER_NAME is already in group netdev
Agregando usuario $USER_NAME al grupo netdev...	Adding user $USER_NAME to group netdev...
Usuario $USER_NAME agregado al grupo netdev	User $USER_NAME added to group netdev
Grupo netdev no existe, creándolo...	Group netdev does not exist; creating it...
Grupo netdev creado y usuario agregado	Group netdev created and user added
Creando usuario $USER_NAME...	Creating user $USER_NAME...
Grupo netdev creado	Group netdev created
Usuario $USER_NAME creado y agregado al grupo netdev	User $USER_NAME created and added to group netdev
Instalando archivos en $INSTALL_DIR...	Installing files to $INSTALL_DIR...
No se encontró '${item}' en ${SCRIPT_DIR}	Could not find '${item}' in ${SCRIPT_DIR}
Error: Faltan archivos del proyecto en ${SCRIPT_DIR}	Error: Missing project files in ${SCRIPT_DIR}
Asegúrate de ejecutar el script desde la raíz del repositorio clonado.	Run the script from the root of the cloned repository.
Si has descargado solo el script, necesitas descargar el proyecto completo.	If you only downloaded the script, you need the full project.
Copiando archivos del proyecto...	Copying project files...
Error al copiar templates	Failed to copy templates
Templates críticos no encontrados	Critical templates not found
Error: Directorio ${SCRIPT_DIR}/website/templates no existe	Error: Directory ${SCRIPT_DIR}/website/templates does not exist
Error: Directorio website no encontrado en ${SCRIPT_DIR}	Error: website directory not found in ${SCRIPT_DIR}
Error al descargar dependencias de Go	Failed to download Go dependencies
Detalle del último intento:	Details from the last attempt:
Sugerencia: compruebe conexión a Internet, proxy/firewall (proxy.golang.org) o ejecute con HOSTBERRY_GO_MOD_RETRIES=10	Tip: check Internet connection, proxy/firewall (proxy.golang.org), or run with HOSTBERRY_GO_MOD_RETRIES=10
mkcert disponible	mkcert available
Instalando mkcert...	Installing mkcert...
mkcert instalado (apt)	mkcert installed (apt)
Arquitectura no soportada para mkcert: $arch	Unsupported architecture for mkcert: $arch
Descargando mkcert (${march})...	Downloading mkcert (${march})...
mkcert instalado en /usr/local/bin/mkcert	mkcert installed to /usr/local/bin/mkcert
No se pudo instalar mkcert	Could not install mkcert
Omitiendo mkcert (HOSTBERRY_SKIP_MKCERT=1).	Skipping mkcert (HOSTBERRY_SKIP_MKCERT=1).
Certificados TLS ya presentes; omitiendo mkcert (HOSTBERRY_REGENERATE_MKCERT=1 para regenerar).	TLS certificates already present; skipping mkcert (set HOSTBERRY_REGENERATE_MKCERT=1 to regenerate).
mkcert no disponible: se mantiene HTTP. Instala mkcert o define tls_cert_file/tls_key_file a mano.	mkcert unavailable: staying on HTTP. Install mkcert or set tls_cert_file/tls_key_file manually.
Instalando CA local de mkcert (confianza en navegadores en este equipo)...	Installing mkcert local CA (browser trust on this machine)...
mkcert -install no completó; los navegadores pueden avisar hasta importar rootCA.pem.	mkcert -install did not finish; browsers may warn until you import rootCA.pem.
Generando certificado TLS (mkcert) para: ${san[*]}	Generating TLS certificate (mkcert) for: ${san[*]}
mkcert no pudo generar certificados.	mkcert could not generate certificates.
Configurando HTTPS (puerto 443), redirección HTTP→HTTPS (puerto 80) y security.enforce_https…	Configuring HTTPS (port 443), HTTP→HTTPS redirect (port 80), and security.enforce_https…
TLS listo: https://hostberry.local o https://<IP> (HTTP en :80 redirige a HTTPS).	TLS ready: https://hostberry.local or https://<IP> (HTTP on :80 redirects to HTTPS).
Otros dispositivos (móviles, PCs) deben confiar en la CA: copia ${CAROOT}/rootCA.pem e impórtala, o usa un certificado público (Let's Encrypt).	Other devices (phones, PCs) must trust the CA: copy ${CAROOT}/rootCA.pem and import it, or use a public certificate (Let's Encrypt).
Omitiendo Avahi (HOSTBERRY_SKIP_AVAHI=1).	Skipping Avahi (HOSTBERRY_SKIP_AVAHI=1).
Configurando mDNS (hostberry.local) con Avahi...	Configuring mDNS (hostberry.local) with Avahi...
No se pudo instalar avahi-daemon; hostberry.local puede no resolverse en la red.	Could not install avahi-daemon; hostberry.local may not resolve on the LAN.
No existe $conf; omitiendo mDNS.	$conf does not exist; skipping mDNS.
Avahi ya anuncia host-name=hostberry (hostberry.local)	Avahi already advertises host-name=hostberry (hostberry.local)
Avahi anunciará este equipo como hostberry.local en la LAN	Avahi will advertise this host as hostberry.local on the LAN
Compilando HostBerry en ${INSTALL_DIR}...	Building HostBerry in ${INSTALL_DIR}...
Error: Directorio de instalación no existe: $INSTALL_DIR	Error: Install directory does not exist: $INSTALL_DIR
Error: No se pudo cambiar al directorio $INSTALL_DIR	Error: Could not change to directory $INSTALL_DIR
Directorio de trabajo: $(pwd)	Working directory: $(pwd)
Error: Directorio de templates no encontrado: ${INSTALL_DIR}/website/templates	Error: Templates directory not found: ${INSTALL_DIR}/website/templates
Verificando estructura del directorio...	Verifying directory structure...
Error: No se encontraron archivos .html en ${INSTALL_DIR}/website/templates	Error: No .html files found in ${INSTALL_DIR}/website/templates
Contenido del directorio:	Directory contents:
Verificado: $TEMPLATE_COUNT templates encontrados en ${INSTALL_DIR}/website/templates	Verified: $TEMPLATE_COUNT templates found in ${INSTALL_DIR}/website/templates
Error: main.go no encontrado en ${INSTALL_DIR}	Error: main.go not found in ${INSTALL_DIR}
Archivos .go encontrados:	.go files found:
Error: go.mod no encontrado en ${INSTALL_DIR}	Error: go.mod not found in ${INSTALL_DIR}
Error: Go no está instalado o no está en el PATH	Error: Go is not installed or not in PATH
Error: main.go no encontrado	Error: main.go not found
Error: Directorio de templates no encontrado	Error: Templates directory not found
Descargando dependencias Go (puede tardar 1-2 min)...	Downloading Go dependencies (may take 1–2 min)...
Compilando (usando ${BUILD_JOBS} núcleos, ~${BUILD_PKG_TOTAL} paquetes; el % es orientativo).	Building (using ${BUILD_JOBS} cores, ~${BUILD_PKG_TOTAL} packages; percentage is approximate).
Si la última línea se queda fija, es normal: Go sigue con main (embed), enlazado y CGO — puede tardar minutos en Raspberry Pi.	If the last line stalls, that is normal: Go is still working on main (embed), linking, and CGO — it can take minutes on a Raspberry Pi.
Compilación completada.	Build completed.
Compilación cancelada: tiempo de espera agotado (${BUILD_TIMEOUT}s). En Raspberry Pi puede tardar más; ejecute de nuevo con HOSTBERRY_BUILD_TIMEOUT=1200	Build cancelled: timeout (${BUILD_TIMEOUT}s). On Raspberry Pi it may take longer; run again with HOSTBERRY_BUILD_TIMEOUT=1200
Error en la compilación (código $build_ret). Compruebe que build-essential y gcc están instalados.	Build failed (exit code $build_ret). Ensure build-essential and gcc are installed.
Preparando base de datos...	Preparing database...
Base de datos existente encontrada: $DB_FILE	Existing database found: $DB_FILE
Si la BD tiene datos antiguos, el usuario admin puede no crearse automáticamente	If the DB has old data, the admin user may not be created automatically
Base de datos se creará automáticamente al iniciar el servicio	The database will be created automatically when the service starts
El usuario admin se creará automáticamente si la BD está vacía	The admin user will be created automatically if the DB is empty
Directorio de base de datos preparado: $DATA_DIR	Database directory prepared: $DATA_DIR
Configurando permisos y sudoers...	Configuring permissions and sudoers...
Creando directorio /etc/hostapd...	Creating directory /etc/hostapd...
Directorio /etc/hostapd creado con permisos 755	Directory /etc/hostapd created with permissions 755
Directorio /etc/hostapd ya existe, permisos verificados	Directory /etc/hostapd already exists; permissions verified
Directorio systemd override para hostapd creado	systemd override directory for hostapd created
Permisos y sudoers configurados correctamente	Permissions and sudoers configured successfully
Advertencia: Error al validar configuración de sudoers	Warning: Failed to validate sudoers configuration
Revisa manualmente: visudo -c -f /etc/sudoers.d/hostberry	Check manually: visudo -c -f /etc/sudoers.d/hostberry
Directorio temporal persistente creado: $FALLBACK_WPA_DIR	Persistent temp directory created: $FALLBACK_WPA_DIR
Creando configuración por defecto de HostAPD…	Creating default HostAPD configuration…
SSH detectado: se aplican igualmente ap0/hostapd/systemd (comportamiento automatizado).	SSH session detected: ap0/hostapd/systemd changes still apply (automated behavior).
Ruta por defecto por WiFi: al levantar el AP la conexión SSH por WiFi puede interrumpirse brevemente.	Default route over WiFi: when bringing up the AP, SSH over WiFi may drop briefly.
Interfaz WiFi de estación: ${_wifi_sta} (create-ap0 y hostapd la usarán; no hay wlan0 fiable)	Station WiFi interface: ${_wifi_sta} (create-ap0 and hostapd will use it; wlan0 is not reliable)
No se detectó interfaz WiFi (¿sin driver?); se asume ${HOSTAPD_INTERFACE}	No WiFi interface detected (missing driver?); assuming ${HOSTAPD_INTERFACE}
Creando/configurando HostAPD de fábrica (modo AP+STA): $HOSTAPD_CONFIG	Creating/configuring factory HostAPD (AP+STA mode): $HOSTAPD_CONFIG
Interfaz WiFi no encontrada: ${HOSTAPD_INTERFACE}. Se usará esa interfaz si existe luego.	WiFi interface not found: ${HOSTAPD_INTERFACE}. It will be used if it appears later.
iw no está disponible; no se puede crear ap0. Se usará la interfaz física.	iw is not available; cannot create ap0. Using the physical interface.
Creando regla udev para ap0 (método TheWalrus - Raspberry Pi 3 B+)...	Creating udev rule for ap0 (TheWalrus method - Raspberry Pi 3 B+)...
Regla udev creada para ap0	udev rule created for ap0
Regla udev para ap0 ya existe	udev rule for ap0 already exists
Creando interfaz virtual ap0 para modo AP+STA...	Creating virtual interface ap0 for AP+STA mode...
Interfaz virtual ap0 creada usando phy $PHY_NAME	Virtual interface ap0 created using phy $PHY_NAME
Interfaz virtual ap0 creada usando interfaz $HOSTAPD_INTERFACE	Virtual interface ap0 created using interface $HOSTAPD_INTERFACE
Interfaz virtual ap0 verificada y activa	Virtual interface ap0 verified and up
ap0 se creó pero no está disponible	ap0 was created but is not available
No se pudo crear interfaz virtual ap0, usando interfaz física directamente	Could not create virtual interface ap0; using the physical interface directly
Sugerencia: tu driver puede no soportar AP+STA. Verifica con: iw list | grep -A5 -i 'valid interface combinations'	Tip: your driver may not support AP+STA. Check with: iw list | grep -A5 -i 'valid interface combinations'
Interfaz virtual ap0 ya existe	Virtual interface ap0 already exists
iw no está disponible, no se puede crear ap0	iw is not available; cannot create ap0
Configurando hostapd para usar ap0 (ap0 se creará en el arranque).	Configuring hostapd to use ap0 (ap0 will be created at boot).
Usando interfaz virtual ap0 (ya existente)	Using virtual interface ap0 (already present)
Usando interfaz física $AP_INTERFACE (modo no concurrente)	Using physical interface $AP_INTERFACE (non-concurrent mode)
Archivo de configuración de HostAPD creado con valores por defecto	HostAPD configuration file created with defaults
  - Interfaz AP: $AP_INTERFACE	  - AP interface: $AP_INTERFACE
  - Interfaz STA: $HOSTAPD_INTERFACE (para wpa_supplicant)	  - STA interface: $HOSTAPD_INTERFACE (for wpa_supplicant)
  - SSID: $HOSTAPD_SSID (red abierta, sin contraseña)	  - SSID: $HOSTAPD_SSID (open network, no password)
  - Gateway: $HOSTAPD_GATEWAY	  - Gateway: $HOSTAPD_GATEWAY
Archivo de configuración de HostAPD ya existe (actualización)	HostAPD configuration file already exists (update)
  SSID actualizado a: ${HOSTAPD_SSID}	  SSID updated to: ${HOSTAPD_SSID}
  Red configurada como abierta (sin contraseña)	  Network configured as open (no password)
Añadiendo ctrl_interface a hostapd.conf (hostapd_cli -i ap0)…	Adding ctrl_interface to hostapd.conf (hostapd_cli -i ap0)…
Añadiendo country_code=${HOSTAPD_COUNTRY} a hostapd.conf…	Adding country_code=${HOSTAPD_COUNTRY} to hostapd.conf…
hostapd.conf: interface=ap0 (SSID en la interfaz virtual del AP)	hostapd.conf: interface=ap0 (SSID on the AP virtual interface)
Instalando ${SYNC_HOSTAPD_CH} (alinear canal AP con ${HOSTAPD_INTERFACE})…	Installing ${SYNC_HOSTAPD_CH} (align AP channel with ${HOSTAPD_INTERFACE})…
Escribiendo configuración DHCP/DNS para la red hostberry en ${DNSMASQ_AP_CONFIG}...	Writing DHCP/DNS configuration for the hostberry network to ${DNSMASQ_AP_CONFIG}...
Configuración dnsmasq para hostberry escrita	dnsmasq configuration for hostberry written
Añadido conf-dir=/etc/dnsmasq.d a $DNSMASQ_CONFIG	Added conf-dir=/etc/dnsmasq.d to $DNSMASQ_CONFIG
Creando $DNSMASQ_CONFIG mínimo...	Creating minimal $DNSMASQ_CONFIG...
Ajustado $DNSMASQ_CONFIG: listen-address loopback comentado (evita conflicto con DNS en 127.0.0.1)	Adjusted $DNSMASQ_CONFIG: loopback listen-address commented (avoids conflict with DNS on 127.0.0.1)
Ajustado $_dmq: listen-address loopback comentado	Adjusted $_dmq: loopback listen-address commented
Configurando wpa_supplicant para modo estación (STA)...	Configuring wpa_supplicant for station (STA) mode...
Creando directorio de configuración de wpa_supplicant...	Creating wpa_supplicant configuration directory...
Directorio /etc/wpa_supplicant configurado	Directory /etc/wpa_supplicant configured
Creando directorio de socket de control de wpa_supplicant...	Creating wpa_supplicant control socket directory...
Directorio /var/run/wpa_supplicant configurado con permisos 775	Directory /var/run/wpa_supplicant configured with permissions 775
Directorio /run/wpa_supplicant configurado con permisos 775	Directory /run/wpa_supplicant configured with permissions 775
Creando archivo de configuración de wpa_supplicant: $WPA_CONFIG	Creating wpa_supplicant configuration file: $WPA_CONFIG
Archivo de configuración de wpa_supplicant creado	wpa_supplicant configuration file created
Archivo de configuración de wpa_supplicant ya existe	wpa_supplicant configuration file already exists
Actualizando archivo de configuración para incluir GROUP=netdev...	Updating configuration file to include GROUP=netdev...
Instalando script y unidad systemd para crear ap0 al arrancar...	Installing script and systemd unit to create ap0 at boot...
Servicio systemd para ap0 actualizado, habilitado e iniciado	systemd service for ap0 updated, enabled, and started
Interfaz ap0 creada y verificada por el servicio systemd	ap0 interface created and verified by systemd service
El servicio se inició pero ap0 no está disponible aún (puede necesitar reinicio)	Service started but ap0 is not available yet (may need a reboot)
Escribiendo override de systemd para hostapd (PID coherente con Type=forking)...	Writing systemd override for hostapd (PID consistent with Type=forking)...
Override de hostapd actualizado	hostapd override updated
Verificando estado del servicio hostapd…	Checking hostapd service status…
Desbloqueando servicio hostapd…	Unmasking hostapd service…
Servicio hostapd desbloqueado	hostapd service unmasked
Servicio dnsmasq no encontrado; instalando paquete dnsmasq...	dnsmasq service not found; installing dnsmasq package...
dnsmasq no está instalado. Instálalo manualmente para DHCP en la red hostberry (p. ej. sudo apt-get install dnsmasq)	dnsmasq is not installed. Install it manually for DHCP on the hostberry network (e.g. sudo apt-get install dnsmasq)
Instalando ${DNSMASQ_PREP_SCRIPT}…	Installing ${DNSMASQ_PREP_SCRIPT}…
Configurando override systemd para dnsmasq (prep ap0 + tras hostapd)…	Configuring systemd override for dnsmasq (prep ap0 + after hostapd)…
Override de dnsmasq actualizado	dnsmasq override updated
HostAPD y dnsmasq configurados; se habilitan para el arranque y enable_and_start_hostberry_wifi_ap inicia el AP al final.	HostAPD and dnsmasq configured; enabled at boot and enable_and_start_hostberry_wifi_ap starts the AP at the end.
Creando/actualizando script de portal cautivo (IP en ap0, DHCP, HTTP -> web Hostberry)...	Creating/updating captive portal script (IP on ap0, DHCP, HTTP -> HostBerry web)...
Script de portal cautivo actualizado: $CAPTIVE_SCRIPT	Captive portal script updated: $CAPTIVE_SCRIPT
Actualizando unidad systemd del portal cautivo (tras HostBerry y dnsmasq)…	Updating captive portal systemd unit (after HostBerry and dnsmasq)…
El portal cautivo se inicia tras arrancar HostBerry (ver enable_and_start_hostberry_wifi_ap o reinicio).	The captive portal starts after HostBerry boots (see enable_and_start_hostberry_wifi_ap or reboot).
Servicio de portal cautivo registrado y habilitado	Captive portal service registered and enabled
Configuración por defecto de HostAPD creada	Default HostAPD configuration created
Blocky: DNS restringido a 127.0.0.1:53 (compatible con dnsmasq en ap0)	Blocky: DNS bound to 127.0.0.1:53 (compatible with dnsmasq on ap0)
Blocky ya está instalado	Blocky is already installed
Instalando Blocky (DNS proxy y ad-blocker)...	Installing Blocky (DNS proxy and ad blocker)...
No se pudo descargar Blocky (${BLOCKY_ARCH}). Puedes instalarlo desde la web Adblock más tarde.	Could not download Blocky (${BLOCKY_ARCH}). You can install it from the Adblock page later.
Configuración por defecto de Blocky creada: $BLOCKY_CONFIG_FILE	Default Blocky configuration created: $BLOCKY_CONFIG_FILE
Blocky instalado (arrancará con el sistema; configúralo desde la web Adblock)	Blocky installed (starts with the system; configure it from the Adblock page)
LibreSpeed CLI ya está instalado	LibreSpeed CLI is already installed
apt-get no disponible; instala librespeed-cli manualmente para el test de velocidad en Red	apt-get unavailable; install librespeed-cli manually for the Network speed test
Instalando LibreSpeed CLI (test de velocidad)...	Installing LibreSpeed CLI (speed test)...
LibreSpeed CLI instalado (test de velocidad en la página Red)	LibreSpeed CLI installed (speed test on the Network page)
No se pudo instalar librespeed-cli por apt. Instálalo con: sudo apt install librespeed-cli	Could not install librespeed-cli via apt. Install with: sudo apt install librespeed-cli
Creando servicio systemd...	Creating systemd service...
Servicio systemd creado: $SERVICE_FILE	systemd service created: $SERVICE_FILE
Iniciando servicio ${SERVICE_NAME}...	Starting service ${SERVICE_NAME}...
Servicio iniciado correctamente	Service started successfully
Estado: $(systemctl is-active ${SERVICE_NAME})	Status: $(systemctl is-active ${SERVICE_NAME})
Verificando creación de usuario admin...	Verifying admin user creation...
Usuario admin creado correctamente	Admin user created successfully
Hubo un error al crear el usuario admin	An error occurred while creating the admin user
Revisa los logs: sudo journalctl -u ${SERVICE_NAME} -n 50	Check logs: sudo journalctl -u ${SERVICE_NAME} -n 50
Revisa los logs para ver el estado del usuario admin:	Check logs for admin user status:
  sudo journalctl -u ${SERVICE_NAME} -n 50 | grep -i admin	  sudo journalctl -u ${SERVICE_NAME} -n 50 | grep -i admin
El servicio no se inició correctamente	The service did not start correctly
Revisa los logs con: journalctl -u ${SERVICE_NAME} -f	Check logs with: journalctl -u ${SERVICE_NAME} -f
Habilitando en el arranque: ap0, hostapd (SSID hostberry), dnsmasq y portal cautivo…	Enabling at boot: ap0, hostapd (SSID hostberry), dnsmasq, and captive portal…
Ruta por defecto por WiFi: se inicia el AP igualmente (SSH por esa WiFi puede cortarse); preferible cable o consola.	Default route over WiFi: AP still starts (SSH over that WiFi may drop); prefer Ethernet or console.
Iniciando ap0, hostapd, dnsmasq y reglas iptables del portal cautivo…	Starting ap0, hostapd, dnsmasq, and captive portal iptables rules…
Punto de acceso WiFi (hostapd) activo	WiFi access point (hostapd) active
hostapd no está activo; tras reinicio comprueba: journalctl -u hostapd -u create-ap0 -b	hostapd is not active; after reboot check: journalctl -u hostapd -u create-ap0 -b
Aplicando systemd: daemon-reload…	Running systemd daemon-reload…
Habrá reinicio del sistema; se omiten reinicios en caliente de hostapd/dnsmasq.	System will reboot; skipping hot restarts of hostapd/dnsmasq.
Reiniciando hostapd, dnsmasq, ${SERVICE_NAME} y hostberry-captive-portal…	Restarting hostapd, dnsmasq, ${SERVICE_NAME}, and hostberry-captive-portal…
Servicios HostBerry recargados	HostBerry services reloaded
Actualización completa	Update complete
Desinstalación completa	Uninstall complete
Instalación completa	Installation complete
Web:    ${web_url}	Web:    ${web_url}
        $(public_url "$scheme" "$mdns_name" "$port")  (mDNS: hostberry.local)	        $(public_url "$scheme" "$mdns_name" "$port")  (mDNS: hostberry.local)
HTTP:   $(public_url "http" "${ip:-localhost}" "$http_redir") (redirige a HTTPS)	HTTP:   $(public_url "http" "${ip:-localhost}" "$http_redir") (redirects to HTTPS)
        $(public_url "http" "$mdns_name" "$http_redir") (redirige a HTTPS)	        $(public_url "http" "$mdns_name" "$http_redir") (redirects to HTTPS)
Config: ${CONFIG_FILE}	Config: ${CONFIG_FILE}
Logs:   journalctl -u ${SERVICE_NAME} -f	Logs:   journalctl -u ${SERVICE_NAME} -f
Login inicial: admin / ${GENERATED_ADMIN_PASSWORD} (se ha guardado también en ${INSTALL_DIR}/INSTALL_CREDENTIALS.txt)	Initial login: admin / ${GENERATED_ADMIN_PASSWORD} (also saved to ${INSTALL_DIR}/INSTALL_CREDENTIALS.txt)
El sistema reiniciará en segundos; si usas SSH por WiFi, vuelve a conectar cuando arranque la Pi.	The system will reboot shortly; if you use SSH over WiFi, reconnect when the Pi finishes booting.
Reinicio automático omitido (p. ej. HOSTBERRY_SKIP_REBOOT=1). Reinicia manualmente cuando puedas.	Automatic reboot skipped (e.g. HOSTBERRY_SKIP_REBOOT=1). Reboot manually when convenient.
Login:  admin / admin (cámbiala)	Login:  admin / admin (change it)
Limpiando directorio temporal...	Cleaning up temporary directory...
Iniciando desinstalación de HostBerry...	Starting HostBerry uninstall...
Eliminando $SERVICE_FILE...	Removing $SERVICE_FILE...
Archivo de servicio eliminado	Service unit file removed
Eliminando $INSTALL_DIR...	Removing $INSTALL_DIR...
Directorio de instalación eliminado	Installation directory removed
Eliminando $LOG_DIR...	Removing $LOG_DIR...
Logs eliminados	Logs removed
Eliminando usuario $USER_NAME...	Removing user $USER_NAME...
Usuario eliminado	User removed
Eliminando grupo $GROUP_NAME...	Removing group $GROUP_NAME...
Grupo eliminado	Group removed
Desinstalación completada	Uninstall finished
HOSTBERRY_SKIP_REBOOT=1: no se reiniciará el sistema al final.	HOSTBERRY_SKIP_REBOOT=1: the system will not reboot at the end.
Ruta por defecto por WiFi: al final se reiniciará el equipo (la sesión SSH por WiFi puede cortarse hasta que vuelva a arrancar).	Default route over WiFi: the machine will reboot at the end (the SSH session over WiFi may drop until it comes back).
Reiniciando el sistema para aplicar scripts, unidades systemd y la red HostBerry.	Rebooting to apply scripts, systemd units, and the HostBerry network.
